Instituição;Código;TCB;TD;TC;SR;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BCO DAYCOVAL S.A - PRUDENCIAL;1.000.081.744;b1;C;2;S3;SAO PAULO;SP;03/2025;20.748.656;158.110;987.051;2.715.541;5.332.072;3.173.528;1.922.783;0;14.289.086;14.933;43.230;61.192;84.114;13.805;2.302;0;219.577;124.140;436.859;985.282;1.225.851;145.621;54;0;2.917.806;232;1.337;3.887;8.434;6.138;12.390;1.611;34.029;96.297;652.422;96.822;287.314;471.501;238.456;0;1.842.812;0;153;493;447;0;0;0;1.093;10.129;435.910;330.350;398.912;124.528;122.522;11.147;1.433.498;10.754
MERCADO PAGO IP - PRUDENCIAL;1.000.084.820;n1;C;3;S4;OSASCO;SP;03/2025;20.712.833;0;0;0;0;0;0;0;0;1.183.923;1.864.398;1.837.093;237.214;28;0;0;5.122.655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.667.817;8.207.362;4.262.903;375.318;0;0;0;15.513.400;0;0;0;0;0;0;0;0;20.292;34.075;20.001;2.409;0;0;0;76.777;0
XP - PRUDENCIAL;1.000.082.475;b1;C;2;S2;RIO DE JANEIRO;RJ;03/2025;20.078.789;0;0;0;0;0;0;0;0;42.776;690.884;1.597.710;7.388.701;1.883.415;211.407;0;11.814.892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;184.326;5.648.466;2.317.519;44.827;0;410;0;8.195.549;0;0;0;0;0;0;0;0;743;7.040;6.193;13.214;9.962;30.582;614;68.349;0
PORTO SEGURO - PRUDENCIAL;1.000.080.642;n1;C;2;S3;SAO PAULO;SP;03/2025;19.169.018;6.792;16.124;44.642;52.337;10.293;22;0;130.209;20.119;49.305;88.678;13.057;648;0;0;171.806;31.145;158.929;376.437;456.972;63.275;41;0;1.086.800;0;0;0;0;0;0;0;0;1.564.927;9.089.941;5.596.264;739.599;163.236;456;0;17.154.424;0;0;0;0;0;0;0;0;10.316;101.229;234.821;256.792;22.598;24;0;625.780;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1.000.081.249;b1;I;1;S3;BELEM;PA;03/2025;18.948.815;132;1.324;3.181;4.049;531;1;0;9.218;78.766;159.069;580.557;491.743;37.155;26.592;35.476;1.409.357;781;5.300;34.827;47.390;18.678;321;0;107.297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;367.967;2.495.372;4.180.105;5.032.751;2.406.168;2.160.416;439.087;17.081.866;31.989;170.948;94.214;7.814;4.495;4.083;27.536;341.077;0
MERCANTIL DO BRASIL - PRUDENCIAL;1.000.080.123;b1;C;2;S3;BELO HORIZONTE;MG;03/2025;18.047.924;46.027;868.262;2.358.591;4.338.262;2.240.819;1.113.948;0;10.965.909;166.706;1.155.729;2.170.026;1.601.096;396.898;149.092;2;5.639.549;0;5;12;9;0;0;0;26;0;1.361;3.956;9.664;8.445;17.487;1.441;42.354;41.707;186.675;91.519;37.846;75.550;831.126;0;1.264.422;0;0;0;0;0;0;0;0;41.980;50.288;39.416;3.625;336;19;0;135.665;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1.000.081.407;b2;I;3;S3;CURITIBA;PR;03/2025;15.031.540;0;0;0;0;0;0;0;0;2.751;10.390;27.060;45.765;12.026;29;0;98.022;8.435;29.785;73.994;125.084;37.972;85;0;275.354;0;0;0;0;0;0;0;0;969;4.852;4.578;0;0;0;0;10.398;227.835;3.086.448;1.572.407;5.716.345;2.986.551;1.045.800;0;14.635.385;0;8.314;2.234;1.833;0;0;0;12.381;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1.000.081.586;b1;I;1;S3;BELEM;PA;03/2025;14.101.768;31.445;494.132;1.892.656;3.435.950;2.088.010;2.914.492;875;10.857.560;32.084;280.300;613.474;399.371;72.634;10.968;0;1.408.830;0;0;0;0;0;0;0;0;1.439;31.141;91.421;210.263;167.993;444.836;152.902;1.099.994;46.623;102.524;33.552;1.375;0;0;0;184.074;21.318;11.474;33.929;46.804;15.748;15.064;0;144.338;9.223;29.506;73.563;140.469;61.996;87.248;4.968;406.973;0
BANCO MASTER - PRUDENCIAL;1.000.080.367;b1;C;2;S3;RIO DE JANEIRO;RJ;03/2025;13.594.685;69.801;210.817;508.580;673.344;232.038;111.829;0;1.806.409;33.400;116.865;202.693;828.795;465.517;21.635;45;1.668.950;0;0;0;0;0;0;0;0;745;1.262;3.330;5.127;2.732;3.335;213;16.744;1.626.177;6.348.095;2.007.373;70.277;33;0;0;10.051.956;0;0;0;0;0;0;0;0;421;854;20.694;7.646;5.941;8.736;6.335;50.626;0
PICPAY - PRUDENCIAL;1.000.088.022;b1;C;2;S3;SAO PAULO;SP;03/2025;12.881.478;1.941;85.931;265.680;415.787;272.821;153.407;0;1.195.568;110.254;981.095;1.685.875;1.758.879;549.595;257.037;0;5.342.734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;422.153;3.336.716;996.617;18.741;17;0;0;4.774.245;0;0;0;0;0;0;0;0;145.525;341.720;637.097;406.579;35.514;2.497;0;1.568.931;0
